order_id,customer_id,order_date,total_amount,status
ORD-001,C003,2023-01-28,1399.97,Delivered
ORD-002,C001,2023-02-02,249.99,Delivered
ORD-003,C006,2023-02-05,224.97,Delivered
ORD-004,C002,2023-02-10,1299.99,Delivered
ORD-005,C009,2023-02-15,112.97,Delivered
ORD-006,C003,2023-02-20,79.99,Delivered
ORD-007,C001,2023-02-22,159.99,Delivered
ORD-008,C005,2023-02-25,339.98,Delivered
ORD-009,C003,2023-03-01,49.99,Shipped
ORD-010,C010,2023-03-15,1549.97,Processing
ORD-011,C004,2023-03-12,24.99,Shipped
ORD-012,C008,2023-03-10,89.99,Shipped
ORD-013,C006,2023-03-05,299.98,Delivered
ORD-014,C003,2023-03-03,19.99,Delivered
ORD-015,C007,2023-03-02,69.99,Delivered
ORD-016,C001,2023-03-18,129.98,Processing
ORD-017,C009,2023-03-17,199.99,Processing
ORD-018,C005,2023-03-16,44.98,Shipped
ORD-019,C002,2023-03-14,89.99,Shipped
ORD-020,C006,2023-03-11,179.99,Shipped
